id,text,rating,date,source,app,cleaned_text,word_count,language
lowyat_5558997_0,I saw maxis is promoting their 5G SA (5G Pro). Does anyone know if they are maxis' own towers or is it shared with UMobile's SA network?,,"Mar 22 2026, 10:15 PM",lowyat,lowyat/TelcoTalk,I saw maxis is promoting their 5G SA (5G Pro). Does anyone know if they are maxis' own towers or is it shared with UMobile's SA network?,27,en
lowyat_5558997_1,"DNB's network, just like Yes 5G Advance. If Maxis join U Mobile second network, the whole world will know.",,"Mar 23 2026, 12:10 PM",lowyat,lowyat/TelcoTalk,"DNB's network, just like Yes 5G Advance. If Maxis join U Mobile second network, the whole world will know.",19,en
lowyat_5558997_2,Currently this is only available for maxis business plan,,"Jun 14 2026, 02:34 PM",lowyat,lowyat/TelcoTalk,Currently this is only available for maxis business plan,9,en
lowyat_3803865_0,"Prepaid - Long Validity - Free/Cheap Data GUIDE Good for Kids, Parents, In-Laws, Backup I've been doing some research regarding the cheapest way to get extended validity and at least a slow speed data plan. All with minimal cost. It's an ongoing process so still a lot of ???. In my case it's for my kid who won't be making many calls nor accessing the internet except on wifi but would love to have Whatsapp active constantly. In other words, my criteria is (1) extended validity followed by (2a) slow data plan or a (2b) cheap fast data plan. I'd also like to avoid Data PAYU entirely. Here's what I have so far. Any additions, suggestions or corrections welcome. Who is this Guide for? People looking for: 1) Long validity and a free slow speed data plan for minimal expense. Reload and forget once a year. 2) Long validity and a cheap long validity data plan so you don't have to reload every month. 3) Long validity only with no data plan. Good for backup phones. Avoid Data PAYU for this or turn off mobile data. 4) Long validity data only plan. Good for tablets. Coming Soon. Notes: - Voice/SMS Rates are off-net. - Voice calls are listed for 1 min calls. Actual charging blocks varies. - Plans and rates change constantly so always double check. - Only plans with voice are listed. Might add data only plans later. Digi New Best v1 Prepaid (I went with this) Validity 365 days - Super Long Life 38/yr (*128*1*7# Min RM43 credit to see option. ) Internet IDD Club - One-time RM10 reg fee - 64kbps free internet (Quota: 1GB/mth *138#) or Internet: RM240/yr (Monthly plan 500MB for RM20 x 12) Rates: 20/min 6/sms Data PAYU: 5/MB (RM3 daily cap) Friends & Family: Favourite Contacts 10 DiGi + 10 non-DiGi (10/min 2/sms) Port-In Charges: None when performed at Digi Centre Example: Load RM50 - SLL RM38 - IDDC RM10 = RM2 Credit (1 yr validity & 12GB/year 64kbps internet) Notes: Music Freedom RM0 for data-free music streaming (Spotify, Apple Music, etc...) IDDIC Subscription of RM10 currently not being deducted Eligible for Jan 2016 free data upon reload promotion BuzzMe Validity 365 days RM38/yr Internet: RM5/200MB, RM25/1GB, RM60/3GB (Follows credit validity) (Also see Smarter Plan for voice+sms+data) Rates: 18/min 10/sms Data PAYU: 5/MB (RM? daily cap ???) Friends & Family: 10 My BFF @ 12/min 5/sms Port-In Charges: ??? Offers: ??? Notes: Smarter 33 - RM33 - 30mins, 30SMS, 1.5GB Smarter 88 - RM88 - 120mins, 120SMS, 4GB Example: Load RM50 - V365 RM38 - 200mb Data RM5 = RM7 Credit (1 yr validity & 200mb/year) Load RM70 - V365 RM38 - 1GB Data RM25 = RM7 Credit (1 yr validity & 1GB/year) TuneTalk Validity 365 days RM28/yr (http://www.tunetalk.com/my/PlanRates/oneyearvalidity) Internet: RM104/yr (Weekly plan 100MB for RM2) Rates: 16/min 5/sms Data PAYU: ???/kb Friends & Family: ??? Port-In Charges: ??? Offers: ??? Example: Load RM140 - V365 RM28 - Weekly Data RM104 = RM8 Credit (1 yr validity & 5.2GB/year) (Weekly data does not stack so will have to purchase every week) Altel Real Validity 365 days RM28/yr (Must reload RM30 in first 6 mths of service or validity is cancelled after 6 months) Internet: RM100/yr (90 days 1GB for RM 25 x 4) Rates: 16/min 5/sms Data PAYU: 5/MB Friends & Family: 8 @ 8/min 2/sms Port-In Charges: ??? Offers: Validity 365 days for first single reload of RM50++ within 30 days of activation Example: Load RM130 - V365#1 RM28 - Quarterly Data RM100 + Reload V365#2 RM30 = RM32 Credit (1 yr validity & 4GB/year) Some forum members have experienced that the credit validity follows the data validity or whichever is longer, if that's true then we don't need to purchase V365: Example: Load RM110 - Quarterly Data RM100 = RM10 Credit (1 yr validity & 4GB/year) Hotlink Fast Validity 365 days RM33/yr Internet: ??? Rates: ??? Data PAYU: ???/kb Friends & Family: ??? Port-In Charges: ??? Offers: ??? Hotlink v3 Validity 365 days RM33/yr Internet: ??? Rates: ??? Data PAYU: ???/kb (RM10 daily cap ???) Friends & Family: ??? Port-In Charges: ??? Offers: ??? XOX Prepaid Plus Validity 365 days RM25 http://www.xox.com.my/plans/prepaid-plus/ Internet: ??? Rates: 5/first 10 sec - 15/min 10/sms Data PAYU: ???/kb Friends & Family: ??? Port-In Charges: ??? Offers: Port-in promo for 28mths validity Friendi Validity reset to 60 days with every call, sms, reload & data use. Internet: ??? Rates: 18/min 8/sms Data PAYU: ???/kb Friends & Family: ??? Port-In Charges: ??? Offers: Switch to Friendi & get RM30 free airtime (Must reload 10 within 7 days) Notes: Charges data in 1MB blocks for first 1MB and 3MB blocks thereafter. Tron Validity 365 days with a min reload RM10 Internet: ??? Rates: 20/min 10/sms Data PAYU: ???/kb Friends & Family: ??? Port-In Charges: ??? Offers: ??? Digi Smart Prepaid No extended validity option. Internet: Free Basic Internet Rates: 30/min 8/sms Data PAYU: NA Friends & Family: Smart Buddyz: Unlimited calls/sms to 3 Port-In Charges: ??? UMobile No extended validity option. Internet: ??? Rates: ??? Data PAYU: ???/kb Friends & Family: ??? Port-In Charges: ??? Offers: ??? #Hotlink No extended validity option. Internet: ??? Rates: ??? Data PAYU: ???/kb Friends & Family: ??? Port-In Charges: ??? Offers: ??? This post has been edited by soonwai : Feb 10 2016, 11:41 PM",,,lowyat,lowyat/TelcoTalk,"Prepaid - Long Validity - Free/Cheap Data GUIDE Good for Kids, Parents, In-Laws, Backup I've been doing some research regarding the cheapest way to get extended validity and at least a slow speed data plan. All with minimal cost. It's an ongoing process so still a lot of ??. In my case it's for my kid who won't be making many calls nor accessing the internet except on wifi but would love to have Whatsapp active constantly. In other words, my criteria is (1) extended validity followed by (2a) slow data plan or a (2b) cheap fast data plan. I'd also like to avoid Data PAYU entirely. Here's what I have so far. Any additions, suggestions or corrections welcome. Who is this Guide for? People looking for: 1) Long validity and a free slow speed data plan for minimal expense. Reload and forget once a year. 2) Long validity and a cheap long validity data plan so you don't have to reload every month. 3) Long validity only with no data plan. Good for backup phones. Avoid Data PAYU for this or turn off mobile data. 4) Long validity data only plan. Good for tablets. Coming Soon. Notes: - Voice/SMS Rates are off-net. - Voice calls are listed for 1 min calls. Actual charging blocks varies. - Plans and rates change constantly so always double check. - Only plans with voice are listed. Might add data only plans later. Digi New Best v1 Prepaid (I went with this) Validity 365 days - Super Long Life 38/yr (*128*1*7# Min RM43 credit to see option. ) Internet IDD Club - One-time RM10 reg fee - 64kbps free internet (Quota: 1GB/mth *138#) or Internet: RM240/yr (Monthly plan 500MB for RM20 x 12) Rates: 20/min 6/sms Data PAYU: 5/MB (RM3 daily cap) Friends & Family: Favourite Contacts 10 DiGi + 10 non-DiGi (10/min 2/sms) Port-In Charges: None when performed at Digi Centre Example: Load RM50 - SLL RM38 - IDDC RM10 = RM2 Credit (1 yr validity & 12GB/year 64kbps internet) Notes: Music Freedom RM0 for data-free music streaming (Spotify, Apple Music, etc..) IDDIC Subscription of RM10 currently not being deducted Eligible for Jan 2016 free data upon reload promotion BuzzMe Validity 365 days RM38/yr Internet: RM5/200MB, RM25/1GB, RM60/3GB (Follows credit validity) (Also see Smarter Plan for voice+sms+data) Rates: 18/min 10/sms Data PAYU: 5/MB (RM? daily cap ??) Friends & Family: 10 My BFF @ 12/min 5/sms Port-In Charges: ?? Offers: ?? Notes: Smarter 33 - RM33 - 30mins, 30SMS, 1.5GB Smarter 88 - RM88 - 120mins, 120SMS, 4GB Example: Load RM50 - V365 RM38 - 200mb Data RM5 = RM7 Credit (1 yr validity & 200mb/year) Load RM70 - V365 RM38 - 1GB Data RM25 = RM7 Credit (1 yr validity & 1GB/year) TuneTalk Validity 365 days RM28/yr ( Internet: RM104/yr (Weekly plan 100MB for RM2) Rates: 16/min 5/sms Data PAYU: ??/kb Friends & Family: ?? Port-In Charges: ?? Offers: ?? Example: Load RM140 - V365 RM28 - Weekly Data RM104 = RM8 Credit (1 yr validity & 5.2GB/year) (Weekly data does not stack so will have to purchase every week) Altel Real Validity 365 days RM28/yr (Must reload RM30 in first 6 mths of service or validity is cancelled after 6 months) Internet: RM100/yr (90 days 1GB for RM 25 x 4) Rates: 16/min 5/sms Data PAYU: 5/MB Friends & Family: 8 @ 8/min 2/sms Port-In Charges: ?? Offers: Validity 365 days for first single reload of RM50++ within 30 days of activation Example: Load RM130 - V365#1 RM28 - Quarterly Data RM100 + Reload V365#2 RM30 = RM32 Credit (1 yr validity & 4GB/year) Some forum members have experienced that the credit validity follows the data validity or whichever is longer, if that's true then we don't need to purchase V365: Example: Load RM110 - Quarterly Data RM100 = RM10 Credit (1 yr validity & 4GB/year) Hotlink Fast Validity 365 days RM33/yr Internet: ?? Rates: ?? Data PAYU: ??/kb Friends & Family: ?? Port-In Charges: ?? Offers: ?? Hotlink v3 Validity 365 days RM33/yr Internet: ?? Rates: ?? Data PAYU: ??/kb (RM10 daily cap ??) Friends & Family: ?? Port-In Charges: ?? Offers: ?? XOX Prepaid Plus Validity 365 days RM25 Internet: ?? Rates: 5/first 10 sec - 15/min 10/sms Data PAYU: ??/kb Friends & Family: ?? Port-In Charges: ?? Offers: Port-in promo for 28mths validity Friendi Validity reset to 60 days with every call, sms, reload & data use. Internet: ?? Rates: 18/min 8/sms Data PAYU: ??/kb Friends & Family: ?? Port-In Charges: ?? Offers: Switch to Friendi & get RM30 free airtime (Must reload 10 within 7 days) Notes: Charges data in 1MB blocks for first 1MB and 3MB blocks thereafter. Tron Validity 365 days with a min reload RM10 Internet: ?? Rates: 20/min 10/sms Data PAYU: ??/kb Friends & Family: ?? Port-In Charges: ?? Offers: ?? Digi Smart Prepaid No extended validity option. Internet: Free Basic Internet Rates: 30/min 8/sms Data PAYU: NA Friends & Family: Smart Buddyz: Unlimited calls/sms to 3 Port-In Charges: ?? UMobile No extended validity option. Internet: ?? Rates: ?? Data PAYU: ??/kb Friends & Family: ?? Port-In Charges: ?? Offers: ?? #Hotlink No extended validity option. Internet: ?? Rates: ?? Data PAYU: ??/kb Friends & Family: ?? Port-In Charges: ?? Offers: ?? This post has been edited by soonwai : Feb 10 2016, 11:41 PM",892,en
lowyat_3803865_1,you can explore on buzzme as well as per introduced by UN1T3D https://forum.lowyat.net/topic/3795710,,,lowyat,lowyat/TelcoTalk,you can explore on buzzme as well as per introduced by UN1T3D,12,en
lowyat_3803865_2,"Thanks, first time I hear about Buzzme.",,,lowyat,lowyat/TelcoTalk,"Thanks, first time I hear about Buzzme.",7,en
lowyat_3803865_3,"ONEXOX 28 months Validity Internet: RM7       250MB    1 day RM10     250MB    7 days RM18     500MB    30 days 1.5GB = RM 28 30 days 3GB = RM 48 30 days 4GB = RM 58 30 days Rates: 5/first 10 sec Akaun Dedikasi (DA) SMS ke sama rangkaian : 5 sen SMS ke lain rangkaian : 10 sen Panggilan 1 - 10 saat (semua rangkaian) : 5 sen Panggilan 1 - 30 saat (sama rangkaian) 	: 7 sen Panggilan 1 - 60 saat (sama rangkaian)	: 15 sen Panggilan 1 - 30 saat (lain rangkaian)  : 9 sen Panggilan 1 - 60 saat (lain rangkaian)	: 18 sen Akaun Utama (MA) SMS ke sama rangkaian : 10 sen SMS ke lain rangkaian : 15 sen Panggilan 1 - 10 saat (semua rangkaian) : 5 sen Panggilan 1 - 30 saat (semua rangkaian)	: 12 sen Panggilan 1 - 60 saat (semua rangkaian)	: 24 sen Data PAYU: no PAYU Friends & Family: 10 numbers to all telco, 6 cents per 30 seconds (12 cents per minutes) Port-In Charges: RM10 for the new simcard Offers: 6% user get user rewards, 6% GST refundable into user's credit, Port-in promo for 28mths validity / new no topup RM50 in single topup to get the 28mths validity",,,lowyat,lowyat/TelcoTalk,"ONEXOX 28 months Validity Internet: RM7 250MB 1 day RM10 250MB 7 days RM18 500MB 30 days 1.5GB = RM 28 30 days 3GB = RM 48 30 days 4GB = RM 58 30 days Rates: 5/first 10 sec Akaun Dedikasi (DA) SMS ke sama rangkaian : 5 sen SMS ke lain rangkaian : 10 sen Panggilan 1 - 10 saat (semua rangkaian) : 5 sen Panggilan 1 - 30 saat (sama rangkaian) : 7 sen Panggilan 1 - 60 saat (sama rangkaian) : 15 sen Panggilan 1 - 30 saat (lain rangkaian) : 9 sen Panggilan 1 - 60 saat (lain rangkaian) : 18 sen Akaun Utama (MA) SMS ke sama rangkaian : 10 sen SMS ke lain rangkaian : 15 sen Panggilan 1 - 10 saat (semua rangkaian) : 5 sen Panggilan 1 - 30 saat (semua rangkaian) : 12 sen Panggilan 1 - 60 saat (semua rangkaian) : 24 sen Data PAYU: no PAYU Friends & Family: 10 numbers to all telco, 6 cents per 30 seconds (12 cents per minutes) Port-In Charges: RM10 for the new simcard Offers: 6% user get user rewards, 6% GST refundable into user's credit, Port-in promo for 28mths validity / new no topup RM50 in single topup to get the 28mths validity",211,id
lowyat_3803865_4,"I was looking at this a while back too. The previous Hotlink and XPAX have validity but not the current #Hotlink and Magic SIM. Digi still have it the last time I checked. My best bet now is with Tune Talk as I am not familiar with the other MVNO as mentioned and there are more too. The doubts I have with the rest of the MVNO is how long will they be around. And will you be able to MNP out before/when they go bust. I would love to see how this discussion goes. Should be interesting. This post has been edited by extercy : Dec 16 2015, 04:12 PM",,,lowyat,lowyat/TelcoTalk,"I was looking at this a while back too. The previous Hotlink and XPAX have validity but not the current #Hotlink and Magic SIM. Digi still have it the last time I checked. My best bet now is with Tune Talk as I am not familiar with the other MVNO as mentioned and there are more too. The doubts I have with the rest of the MVNO is how long will they be around. And will you be able to MNP out before/when they go bust. I would love to see how this discussion goes. Should be interesting. This post has been edited by extercy : Dec 16 2015, 04:12 PM",111,en
lowyat_3803865_5,Do you know what happens after the 28 months? I couldn't find any info on their website for extended validity.,,,lowyat,lowyat/TelcoTalk,Do you know what happens after the 28 months? I couldn't find any info on their website for extended validity.,20,en
lowyat_3803865_6,"I'm considering either onexox, altel or tunetalk which one is the best?",,,lowyat,lowyat/TelcoTalk,"I'm considering either onexox, altel or tunetalk which one is the best?",12,en
